rownames(fatty_acids_genes_expression_9423_df_mean_SD_with_description)	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
64	YKL182W	FAS1	2.41746505084967	0.133832028613408	0.231803873238434	S000001665	ORF	100671	106826	1	6156	XI	Fatty Acid Synthetase	6156	fatty_acids_metabolism	Fatty acids-associated genes	Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities [Source:SGD;Acc:S000001665]
65	YKL187C	FAT3	3.46872362712418	0.322576022618339	0.967728067855018	S000001670	ORF	89284	91536	-1	2253	XI	FATty acid transporter 3	2253	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication [Source:SGD;Acc:S000001670]
66	YKL188C	PXA2	2.36623910279412	0.197858194764706	0.279813742462905	S000001671	ORF	86225	88786	-1	2562	XI	PeroXisomal ABC-transporter	2562	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant [Source:SGD;Acc:S000001671]
67	YKL192C	ACP1	3.22032062348693	0.0911757111105402	0.223333969156231	S000001675	ORF	80160	80537	-1	378	XI	Acyl Carrier Protein	378	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p [Source:SGD;Acc:S000001675]
68	YKL194C	MST1	2.05813882421568	0	0	S000001677	ORF	77258	78646	-1	1389	XI	Mitochondrial aminoacyl-tRNA Synthetase, Threonine	1389	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr [Source:SGD;Acc:S000001677]
69	YKR003W	OSH6	3.16179163134314	0.0776730622254904	0.109846298030338	S000001711	ORF	445381	446727	1	1347	XI	OxySterol binding protein Homolog	1347	fatty_acids_metabolism	Fatty acids-associated genes	Member of an oxysterol-binding protein family; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; GFP-fusion protein localizes to the cell periphery; overexpression extends lifespan by promoting vacuolar fusion; OSH6 has a paralog, OSH7, that arose from the whole genome duplication [Source:SGD;Acc:S000001711]
70	YKR009C	FOX2	2.11767658060784	0	0	S000001717	ORF	454352	457054	-1	2703	XI	Fatty acid OXidation	2703	fatty_acids_metabolism	Fatty acids-associated genes	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4 [Source:SGD;Acc:S000001717]
71	YKR066C	CCP1	2.23727989790523	0.0788402044979296	0.136555239869534	S000001774	ORF	566113	567198	-1	1086	XI	Cytochrome c Peroxidase	1086	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress [Source:SGD;Acc:S000001774]
72	YKR067W	GPT2	2.27461638377124	0.0795052486446388	0.137707130120911	S000001775	ORF	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	2232	fatty_acids_metabolism	Fatty acids-associated genes	Glycerol-3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis; the most conserved motifs and functionally relevant residues are oriented towards the ER lumen [Source:SGD;Acc:S000001775]
73	YKR089C	TGL4	2.03816456165196	0.0284536081715672	0.0402394785746802	S000001797	ORF	605633	608365	-1	2733	XI	TriacylGlycerol Lipase	2733	fatty_acids_metabolism	Fatty acids-associated genes	Multifunctional lipase/hydrolase/phospholipase; triacylglycerol lipase, steryl ester hydrolase, and Ca2+-independent phospholipase A2; catalyzes acyl-CoA dependent acylation of LPA to PA; required with Tgl3p for timely bud formation; phosphorylated and activated by Cdc28p; TGL4 has a paralog, TGL5, that arose from the whole genome duplication [Source:SGD;Acc:S000001797]
74	YLL027W	ISA1	2.38556675384314	0.266464411362746	0.376837584438958	S000003950	ORF	87403	88155	1	753	XII	Iron Sulfur Assembly	753	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa2p and possibly Iba57p; isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources; functional ortholog of bacterial A-type ISC proteins; human ISCA1 can complement isa1 null mutant [Source:SGD;Acc:S000003950]
75	YLR089C	ALT1	2.79646765406372	0.221030871188922	0.442061742377843	S000004079	ORF	318237	320015	-1	1779	XII	ALanine Transaminase	1779	fatty_acids_metabolism	Fatty acids-associated genes	Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthesis and catabolism; TOR1-independent role in determining chronological lifespan; expression is induced in the presence of alanine; repression is mediated by Nrg1p; ALT1 has a paralog, ALT2, that arose from the whole genome duplication; Alt2p is catalytically inactive [Source:SGD;Acc:S000004079]
76	YLR099C	ICT1	2.58436346655555	0.06241607535491	0.152887536366634	S000004089	ORF	339744	340928	-1	1185	XII	Increased Copper Tolerance	1185	fatty_acids_metabolism	Fatty acids-associated genes	Lysophosphatidic acid acyltransferase; responsible for enhanced phospholipid synthesis during organic solvent stress; null displays increased sensitivity to Calcofluor white; highly expressed during organic solvent stress; ICT1 has a paralog, ECM18, that arose from the whole genome duplication; human ABHD5 can complement ict1 null mutant [Source:SGD;Acc:S000004089]
77	YLR133W	CKI1	2.28975242338235	0	0	S000004123	ORF	408445	410193	1	1749	XII	Choline KInase	1749	fatty_acids_metabolism	Fatty acids-associated genes	Choline kinase; catalyzes the first step in phosphatidylcholine synthesis via the CDP-choline (Kennedy pathway); exhibits some ethanolamine kinase activity contributing to phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway; CKI1 has a paralog, EKI1, that arose from the whole genome duplication [Source:SGD;Acc:S000004123]
78	YLR142W	PUT1	3.44359697272549	0.331902053223985	0.66380410644797	S000004132	ORF	425186	426616	1	1431	XII	Proline UTilization	1431	fatty_acids_metabolism	Fatty acids-associated genes	Proline oxidase; nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source [Source:SGD;Acc:S000004132]
79	YLR151C	PCD1	2.64447387668627	0.0142900730858485	0.0350033874474079	S000004141	ORF	441715	442737	-1	1023	XII	Peroxisomal Coenzyme A Diphosphatase	1023	fatty_acids_metabolism	Fatty acids-associated genes	8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1 [Source:SGD;Acc:S000004141]
80	YLR168C	UPS2	3.17889967218301	0.15617474619729	0.382548438892029	S000004158	ORF	499578	500270	-1	693	XII	UnProceSsed	693	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial intermembrane space protein; involved in phospholipid metabolism; forms complex with Mdm35p that transfers phosphatidylserine from outer membrane to inner membrane for phosphatidylethanolamine synthesis; null mutant has defects in mitochondrial morphology; similar to Ups1p, Ups3p and to human PRELI; UPS2 has a paralog, UPS3, that arose from the whole genome duplication [Source:SGD;Acc:S000004158]
81	YLR193C	UPS1	3.70115403900654	0.15472894296222	0.379006958697641	S000004183	ORF	540009	540536	-1	528	XII	UnProceSsed	528	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidic acid transfer protein; plays a role in phospholipid metabolism by transporting phosphatidic acid from the outer to the inner mitochondrial membrane; localizes to the mitochondrial intermembrane space; null mutant has altered cardiolipin and phosphatidic acid levels; ortholog of human PRELI [Source:SGD;Acc:S000004183]
82	YLR242C	ARV1	2.0098989485098	0	0	S000004232	ORF	622918	623883	-1	966	XII	ARE2 Required for Viability	966	fatty_acids_metabolism	Fatty acids-associated genes	Cortical ER protein; implicated in the membrane insertion of tail-anchored C-terminal single transmembrane domain proteins; may function in transport of glycosylphosphatidylinositol intermediates into the ER lumen; required for normal intracellular sterol distribution; human ARV1, required for normal cholesterol and bile acid homeostasis, can complement yeast arv1 null mutant; human variant causing early onset epileptic encephalopathy is unable to rescue the yeast null [Source:SGD;Acc:S000004232]
83	YLR259C	HSP60	2.40122503630556	0.148769990153033	0.364410564913809	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719	fatty_acids_metabolism	Fatty acids-associated genes	Tetradecameric mitochondrial chaperonin; required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated [Source:SGD;Acc:S000004249]
84	YLR304C	ACO1	2.39863830995588	0.12146713098489	0.24293426196978	S000004295	ORF	735212	737548	-1	2337	XII	ACOnitase	2337	fatty_acids_metabolism	Fatty acids-associated genes	Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy; human homolog ACO2 can complement yeast null mutant [Source:SGD;Acc:S000004295]
85	YML042W	CAT2	3.05001030767787	0.20241004285407	0.535526636253795	S000004506	ORF	192788	194800	1	2013	XIII	Carnitine AcetylTransferase	2013	fatty_acids_metabolism	Fatty acids-associated genes	Carnitine acetyl-CoA transferase; present in both mitochondria and peroxisomes; transfers activated acetyl groups to carnitine to form acetylcarnitine which can be shuttled across membranes [Source:SGD;Acc:S000004506]
86	YML120C	NDI1	2.85433296476797	0.219680030316557	0.538103980954704	S000004589	ORF	28266	29807	-1	1542	XIII	NADH Dehydrogenase Internal	1542	fatty_acids_metabolism	Fatty acids-associated genes	NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy [Source:SGD;Acc:S000004589]
87	YML129C	COX14	2.32666268163726	0.0985630680490193	0.139389227584025	S000004598	ORF	14541	14753	-1	213	XIII	Cytochrome c OXidase	213	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial cytochrome c oxidase (complex IV) assembly factor; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; located in the mitochondrial membrane [Source:SGD;Acc:S000004598]
88	YMR006C	PLB2	2.05143643212745	0.00881754493137521	0.012469891628785	S000004608	ORF	277561	279681	-1	2121	XIII	PhosphoLipase B	2121	fatty_acids_metabolism	Fatty acids-associated genes	Phospholipase B (lysophospholipase) involved in lipid metabolism; displays transacylase activity in vitro; overproduction confers resistance to lysophosphatidylcholine [Source:SGD;Acc:S000004608]
89	YMR110C	HFD1	2.55466489315196	0.160552975304367	0.393272866181367	S000004716	ORF	490394	491992	-1	1599	XIII	Homolog of Fatty aldehyde Dehydrogenase	1599	fatty_acids_metabolism	Fatty acids-associated genes	Dehydrogenase involved in ubiquinone and sphingolipid metabolism; oxidizes 4-hydroxybenzaldehyde into 4-hydroxybenzoic acid in ubiquinone biosynthesis; converts hexadecenal to hexadecenoic acid in sphingosine 1-phosphate breakdown pathway; located in the mitochondrial outer membrane and also in lipid particles; human homolog ALDH3A2, a fatty aldehyde dehydrogenase (FALDH) mutated in neurocutaneous disorder Sjogren-Larsson syndrome, can complement yeast hfd1 mutant [Source:SGD;Acc:S000004716]
90	YMR220W	ERG8	4.57265709988235	0.192618137805093	0.471816152827573	S000004833	ORF	712316	713671	1	1356	XIII	ERGosterol biosynthesis	1356	fatty_acids_metabolism	Fatty acids-associated genes	Phosphomevalonate kinase; an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate [Source:SGD;Acc:S000004833]
91	YMR246W	FAA4	2.52257630902941	0.179334595441257	0.358669190882514	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085	fatty_acids_metabolism	Fatty acids-associated genes	Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; role in stationary phase survival; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms cytoplasmic foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4 [Source:SGD;Acc:S000004860]
92	YNL009W	IDP3	2.3362553524902	0	0	S000004954	ORF	614821	616083	1	1263	XIV	Isocitrate Dehydrogenase, NADP-dependent	1263	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal NADP-dependent isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate with the formation of NADP(H+), required for growth on unsaturated fatty acids; IDP3 has a paralog, IDP2, that arose from the whole genome duplication [Source:SGD;Acc:S000004954]
93	YNL012W	SPO1	2.97098490953432	0.138074983838236	0.195267514768479	S000004957	ORF	609686	611665	1	1980	XIV	SPOrulation	1980	fatty_acids_metabolism	Fatty acids-associated genes	Meiosis-specific prospore protein; required for meiotic spindle pole body duplication and separation; required to produce bending force necessary for proper prospore membrane assembly during sporulation; has similarity to phospholipase B [Source:SGD;Acc:S000004957]
94	YNL037C	IDH1	2.17485507531765	0.060826029065019	0.136011135790761	S000004982	ORF	557920	559002	-1	1083	XIV	Isocitrate DeHydrogenase	1083	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle [Source:SGD;Acc:S000004982]
95	YNL071W	LAT1	2.7274909164085	0.109748755352856	0.26882845052004	S000005015	ORF	491523	492971	1	1449	XIV		1449	fatty_acids_metabolism	Fatty acids-associated genes	Dihydrolipoamide acetyltransferase component (E2) of the PDC; the pyruvate dehydrogenase complex (PDC) catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA [Source:SGD;Acc:S000005015]
96	YNL310C	ZIM17	2.30834682853676	0.100740234744576	0.201480469489153	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	fatty_acids_metabolism	Fatty acids-associated genes	Protein co-chaperone with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix; required for the maintenance of Ssc1p solubility and assists in the functional interaction of Ssc1p with substrate proteins [Source:SGD;Acc:S000005254]
97	YNL326C	PFA3	2.15641722388235	0	0	S000005270	ORF	27337	28347	-1	1011	XIV	Protein Fatty Acyltransferase	1011	fatty_acids_metabolism	Fatty acids-associated genes	Palmitoyltransferase for Vac8p; required for vacuolar membrane fusion; contains an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; autoacylates; required for vacuolar integrity under stress conditions [Source:SGD;Acc:S000005270]
98	YNR001C	CIT1	2.15140206071895	0.0398124985100118	0.0975203067348444	S000005284	ORF	629622	631061	-1	1440	XIV	CITrate synthase	1440	fatty_acids_metabolism	Fatty acids-associated genes	Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication [Source:SGD;Acc:S000005284]
99	YNR016C	ACC1	2.97648460935854	0.320740470517588	0.848599520383382	S000005299	ORF	654673	661374	-1	6702	XIV	Acetyl-CoA Carboxylase	6702	fatty_acids_metabolism	Fatty acids-associated genes	Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication [Source:SGD;Acc:S000005299]
100	YOL002C	IZH2	2.28082954073529	0.0732695734334385	0.146539146866877	S000005362	ORF	323411	324364	-1	954	XV	Implicated in Zinc Homeostasis	954	fatty_acids_metabolism	Fatty acids-associated genes	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor [Source:SGD;Acc:S000005362]
101	YOL032W	OPI10	3.21800535802451	0.203087149146053	0.497459888724335	S000005392	ORF	265429	266169	1	741	XV	OverProducer of Inositol	741	fatty_acids_metabolism	Fatty acids-associated genes	Protein with a possible role in phospholipid biosynthesis; null mutant displays an inositol-excreting phenotype that is suppressed by exogenous choline; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005392]
102	YOL101C	IZH4	2.94314199334314	0.104705409998197	0.234128414367956	S000005461	ORF	126982	127920	-1	939	XV	Implicated in Zinc Homeostasis	939	fatty_acids_metabolism	Fatty acids-associated genes	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; expression induced by fatty acids and altered zinc levels; deletion reduces sensitivity to excess zinc; possible role in sterol metabolism; protein increases in abundance and relocalizes from nucleus to ER upon DNA replication stress; IZH4 has a paralog, IZH1, that arose from the whole genome duplication [Source:SGD;Acc:S000005461]
103	YOL147C	PEX11	2.10128866088235	0	0	S000005507	ORF	47933	48643	-1	711	XV	PEroXin	711	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal protein required for medium-chain fatty acid oxidation; also required for peroxisome proliferation, possibly by inducing membrane curvature; localization regulated by phosphorylation; transcription regulated by Adr1p and Pip2p-Oaf1p [Source:SGD;Acc:S000005507]
104	YOR022C	DDL1	2.33760369835294	0	0	S000005548	ORF	373710	375857	-1	2148	XV	DDHD Domain-containing Lipase	2148	fatty_acids_metabolism	Fatty acids-associated genes	DDHD domain-containing phospholipase A1; mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA; implicated in remodeling of mitochondrial phospholipids; antagonistically regulated by Aft1p and Aft2p; in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism [Source:SGD;Acc:S000005548]
105	YOR040W	GLO4	2.49323038932353	0.292979262098041	0.414335245953111	S000005566	ORF	407064	407921	1	858	XV	GLyOxalase	858	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication [Source:SGD;Acc:S000005566]
106	YOR081C	TGL5	2.20186622333333	0.0412944564313715	0.0583991803360705	S000005607	ORF	476939	479188	-1	2250	XV	TriacylGlycerol Lipase	2250	fatty_acids_metabolism	Fatty acids-associated genes	Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog, TGL4, that arose from the whole genome duplication [Source:SGD;Acc:S000005607]
107	YOR136W	IDH2	3.18999428078105	0.101946987143304	0.249718099315172	S000005662	ORF	580250	581359	1	1110	XV	Isocitrate DeHydrogenase	1110	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated [Source:SGD;Acc:S000005662]
108	YOR175C	ALE1	2.62825695198529	0.0284352112990174	0.0402134614680151	S000005701	ORF	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	1860	fatty_acids_metabolism	Fatty acids-associated genes	Broad-specificity lysophospholipid acyltransferase; part of MBOAT family of membrane-bound O-acyltransferases; key component of Lands cycle; may have role in fatty acid exchange at sn-2 position of mature glycerophospholipids [Source:SGD;Acc:S000005701]
109	YOR232W	MGE1	2.12976426154902	0	0	S000005758	ORF	774573	775259	1	687	XV	Mitochondrial GrpE	687	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix cochaperone; nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in folding of Fe-S cluster proteins; acts as oxidative sensor to regulate mitochondrial Ssc1p; in presence of oxidative stress, dimeric Mge1p becomes a monomer and unable to regulate Ssc1p function; homolog of E. coli GrpE and human Mge1 (GRPEL1), which also responds to oxidative stress [Source:SGD;Acc:S000005758]
110	YOR363C	PIP2	2.55133355880392	0.135913250137255	0.192210361650313	S000005890	ORF	1020222	1023212	-1	2991	XV	Peroxisome Induction Pathway	2991	fatty_acids_metabolism	Fatty acids-associated genes	Autoregulatory, oleate-activated transcription factor; subunit of a heterodimeric complex with Oaf1p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; PIP2 has a paralog, OAF1, that arose from the whole genome duplication [Source:SGD;Acc:S000005890]
111	YOR374W	ALD4	2.36807473320261	0.124875431047572	0.21629059119146	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant [Source:SGD;Acc:S000005901]
112	YPL028W	ERG10	4.88265909880392	0.246050394710664	0.602697918051523	S000005949	ORF	498096	499292	1	1197	XVI	ERGosterol biosynthesis	1197	fatty_acids_metabolism	Fatty acids-associated genes	Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase); cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis; human ACAT1 functionally complements the growth defect caused by repression of ERG10 expression [Source:SGD;Acc:S000005949]
113	YPL029W	SUV3	2.61669320312091	0.0308883658822171	0.0756607353998245	S000005950	ORF	495506	497719	1	2214	XVI	SUppressor of Var1	2214	fatty_acids_metabolism	Fatty acids-associated genes	ATP-dependent RNA helicase; component of the mitochondrial degradosome along with the RNase Dss1p; the degradosome associates with the ribosome and mediates RNA turnover; also required during splicing of the COX1 AI5_beta intron; expression of a processed form of human homolog SUPV3L1 carrying an N-terminal deletion of 46 amino acids rescues yeast suv3 null mutant [Source:SGD;Acc:S000005950]
114	YPL040C	ISM1	2.11653483901961	0.000138025117645935	0.000195196993323023	S000005961	ORF	475993	479001	-1	3009	XVI	Isoleucyl tRNA Synthetase of Mitochondria	3009	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial isoleucyl-tRNA synthetase; null mutant is deficient in respiratory growth; human homolog IARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant [Source:SGD;Acc:S000005961]
115	YPL087W	YDC1	2.80994579354902	0.0385675097496124	0.0944707195363658	S000006008	ORF	383455	384408	1	954	XVI	Yeast DihydroCeramidase	954	fatty_acids_metabolism	Fatty acids-associated genes	Alkaline dihydroceramidase, involved in sphingolipid metabolism; preferentially hydrolyzes dihydroceramide to a free fatty acid and dihydrosphingosine; has a minor reverse activity; YDC1 has a paralog, YPC1, that arose from the whole genome duplication [Source:SGD;Acc:S000006008]
116	YPL095C	EEB1	3.75697750842157	0.199975825157893	0.48983873252886	S000006016	ORF	368071	369441	-1	1371	XVI	Ethyl Ester Biosynthesis	1371	fatty_acids_metabolism	Fatty acids-associated genes	Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication [Source:SGD;Acc:S000006016]
117	YPL135W	ISU1	2.98667797697059	0.125110073860192	0.306455842639386	S000006056	ORF	297553	298050	1	498	XVI	IScU homolog	498	fatty_acids_metabolism	Fatty acids-associated genes	Conserved protein of the mitochondrial matrix; performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); ISU1 has a paralog, ISU2, that arose from the whole genome duplication; isu1 isu2 double mutant is inviable; human homolog ISCU implicated in mitochondrial myopathy, can complement isu1 isu2 double mutant [Source:SGD;Acc:S000006056]
118	YPL147W	PXA1	2.46777497082353	0	0	S000006068	ORF	273255	275867	1	2613	XVI	PeroXisomal ABC-transporter	2613	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant [Source:SGD;Acc:S000006068]
119	YPL231W	FAS2	2.79206140159477	0.1615090135866	0.484527040759799	S000006152	ORF	108652	114315	1	5664	XVI	Fatty Acid Synthetase	5664	fatty_acids_metabolism	Fatty acids-associated genes	Alpha subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities [Source:SGD;Acc:S000006152]
120	YPR004C	AIM45	2.58043385531699	0.135026529451802	0.3307460988958	S000006208	ORF	564007	565041	-1	1035	XVI	Altered Inheritance rate of Mitochondria	1035	fatty_acids_metabolism	Fatty acids-associated genes	Putative ortholog of mammalian ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response; ETF-alpha is an electron transfer flavoprotein complex subunit [Source:SGD;Acc:S000006208]
121	YPR006C	ICL2	2.66281027468487	0.21232592641152	0.561761598176283	S000006210	ORF	567269	568996	-1	1728	XVI	IsoCitrate Lyase	1728	fatty_acids_metabolism	Fatty acids-associated genes	2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol [Source:SGD;Acc:S000006210]
