rownames(fatty_acids_genes_expression_10205_16376_df_mean_SD_with_description)	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
64	YKR067W	GPT2	2.27372565042074	0.00606832866853443	0.0105106535709284	S000001775	ORF	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	2232	fatty_acids_metabolism	Fatty acids-associated genes	Glycerol-3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis; the most conserved motifs and functionally relevant residues are oriented towards the ER lumen [Source:SGD;Acc:S000001775]
65	YLR089C	ALT1	2.79615733755993	0.240195449793209	0.416030722788698	S000004079	ORF	318237	320015	-1	1779	XII	ALanine Transaminase	1779	fatty_acids_metabolism	Fatty acids-associated genes	Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthesis and catabolism; TOR1-independent role in determining chronological lifespan; expression is induced in the presence of alanine; repression is mediated by Nrg1p; ALT1 has a paralog, ALT2, that arose from the whole genome duplication; Alt2p is catalytically inactive [Source:SGD;Acc:S000004079]
66	YLR099C	ICT1	2.93110265669847	0.158516473959108	0.501273104369551	S000004089	ORF	339744	340928	-1	1185	XII	Increased Copper Tolerance	1185	fatty_acids_metabolism	Fatty acids-associated genes	Lysophosphatidic acid acyltransferase; responsible for enhanced phospholipid synthesis during organic solvent stress; null displays increased sensitivity to Calcofluor white; highly expressed during organic solvent stress; ICT1 has a paralog, ECM18, that arose from the whole genome duplication; human ABHD5 can complement ict1 null mutant [Source:SGD;Acc:S000004089]
67	YLR118C	TML25	3.64901801232672	0.14222643146531	0.44975946690822	S000004108	ORF	384725	385408	-1	684	XII	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	684	fatty_acids_metabolism	Fatty acids-associated genes	Acyl-protein thioesterase responsible for depalmitoylation of Gpa1p; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS [Source:SGD;Acc:S000004108]
68	YLR142W	PUT1	3.20830783355177	0.240855917883261	0.589974100343676	S000004132	ORF	425186	426616	1	1431	XII	Proline UTilization	1431	fatty_acids_metabolism	Fatty acids-associated genes	Proline oxidase; nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source [Source:SGD;Acc:S000004132]
69	YLR151C	PCD1	2.07830450764198	0.0243962723308582	0.0345015392016471	S000004141	ORF	441715	442737	-1	1023	XII	Peroxisomal Coenzyme A Diphosphatase	1023	fatty_acids_metabolism	Fatty acids-associated genes	8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1 [Source:SGD;Acc:S000004141]
70	YLR163C	MAS1	2.58031032174586	0.0921294427000466	0.27638832810014	S000004153	ORF	491866	493254	-1	1389	XII	Mitochondrial ASsembly	1389	fatty_acids_metabolism	Fatty acids-associated genes	Beta subunit of the mitochondrial processing protease (MPP); essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins [Source:SGD;Acc:S000004153]
71	YLR168C	UPS2	3.91677249620797	0.118465025770724	0.374619304506031	S000004158	ORF	499578	500270	-1	693	XII	UnProceSsed	693	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial intermembrane space protein; involved in phospholipid metabolism; forms complex with Mdm35p that transfers phosphatidylserine from outer membrane to inner membrane for phosphatidylethanolamine synthesis; null mutant has defects in mitochondrial morphology; similar to Ups1p, Ups3p and to human PRELI; UPS2 has a paralog, UPS3, that arose from the whole genome duplication [Source:SGD;Acc:S000004158]
72	YLR193C	UPS1	3.39111776896055	0.100433987860303	0.317600156132258	S000004183	ORF	540009	540536	-1	528	XII	UnProceSsed	528	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidic acid transfer protein; plays a role in phospholipid metabolism by transporting phosphatidic acid from the outer to the inner mitochondrial membrane; localizes to the mitochondrial intermembrane space; null mutant has altered cardiolipin and phosphatidic acid levels; ortholog of human PRELI [Source:SGD;Acc:S000004183]
73	YLR242C	ARV1	2.84772829964581	0.129722064705084	0.410217187247804	S000004232	ORF	622918	623883	-1	966	XII	ARE2 Required for Viability	966	fatty_acids_metabolism	Fatty acids-associated genes	Cortical ER protein; implicated in the membrane insertion of tail-anchored C-terminal single transmembrane domain proteins; may function in transport of glycosylphosphatidylinositol intermediates into the ER lumen; required for normal intracellular sterol distribution; human ARV1, required for normal cholesterol and bile acid homeostasis, can complement yeast arv1 null mutant; human variant causing early onset epileptic encephalopathy is unable to rescue the yeast null [Source:SGD;Acc:S000004232]
74	YLR259C	HSP60	2.6536483035421	0.117406924695775	0.371273295114519	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719	fatty_acids_metabolism	Fatty acids-associated genes	Tetradecameric mitochondrial chaperonin; required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated [Source:SGD;Acc:S000004249]
75	YLR304C	ACO1	2.44686499314727	0.0456382638392323	0.111790459152632	S000004295	ORF	735212	737548	-1	2337	XII	ACOnitase	2337	fatty_acids_metabolism	Fatty acids-associated genes	Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy; human homolog ACO2 can complement yeast null mutant [Source:SGD;Acc:S000004295]
76	YLR380W	CSR1	2.94070140134151	0.0404713676631723	0.09049672923724	S000004372	ORF	878282	879508	1	1227	XII	Chs5 Spa2 Rescue	1227	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidylinositol transfer protein; has a potential role in regulating lipid and fatty acid metabolism under heme-depleted conditions; interacts specifically with thioredoxin peroxidase; may have a role in oxidative stress resistance; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000004372]
77	YML042W	CAT2	2.92718942281652	0.151493337731193	0.546216997081001	S000004506	ORF	192788	194800	1	2013	XIII	Carnitine AcetylTransferase	2013	fatty_acids_metabolism	Fatty acids-associated genes	Carnitine acetyl-CoA transferase; present in both mitochondria and peroxisomes; transfers activated acetyl groups to carnitine to form acetylcarnitine which can be shuttled across membranes [Source:SGD;Acc:S000004506]
78	YML120C	NDI1	2.75406491232996	0.182565471574654	0.483022835773767	S000004589	ORF	28266	29807	-1	1542	XIII	NADH Dehydrogenase Internal	1542	fatty_acids_metabolism	Fatty acids-associated genes	NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy [Source:SGD;Acc:S000004589]
79	YML129C	COX14	2.1538976173012	0.151130899798964	0.213731368189345	S000004598	ORF	14541	14753	-1	213	XIII	Cytochrome c OXidase	213	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial cytochrome c oxidase (complex IV) assembly factor; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; located in the mitochondrial membrane [Source:SGD;Acc:S000004598]
80	YMR006C	PLB2	2.09341789007418	0.0411706644398704	0.0582241120227764	S000004608	ORF	277561	279681	-1	2121	XIII	PhosphoLipase B	2121	fatty_acids_metabolism	Fatty acids-associated genes	Phospholipase B (lysophospholipase) involved in lipid metabolism; displays transacylase activity in vitro; overproduction confers resistance to lysophosphatidylcholine [Source:SGD;Acc:S000004608]
81	YMR110C	HFD1	2.77033416128064	0.15001066681083	0.497529096362543	S000004716	ORF	490394	491992	-1	1599	XIII	Homolog of Fatty aldehyde Dehydrogenase	1599	fatty_acids_metabolism	Fatty acids-associated genes	Dehydrogenase involved in ubiquinone and sphingolipid metabolism; oxidizes 4-hydroxybenzaldehyde into 4-hydroxybenzoic acid in ubiquinone biosynthesis; converts hexadecenal to hexadecenoic acid in sphingosine 1-phosphate breakdown pathway; located in the mitochondrial outer membrane and also in lipid particles; human homolog ALDH3A2, a fatty aldehyde dehydrogenase (FALDH) mutated in neurocutaneous disorder Sjogren-Larsson syndrome, can complement yeast hfd1 mutant [Source:SGD;Acc:S000004716]
82	YMR165C	PAH1	2.02943231427281	0	0	S000004775	ORF	590040	592628	-1	2589	XIII	Phosphatidic Acid phosphoHydrolase	2589	fatty_acids_metabolism	Fatty acids-associated genes	Mg2+-dependent phosphatidate (PA) phosphatase; dephosphorylates PA to yield diacylglycerol; regulates phospholipid synthesis, nuclear/ER membrane growth, lipid droplet formation, triacylglycerol synthesis, vacuolar homeostasis and cell wall integrity; phosphorylated by Pho85p/Pho80p, Cdc28p/Cyclin B, PKA, PKC, and CKII, regulating activity, localization, and proteosomal degradation; homolog of mammalian lipins 1 and 2; human homologs LPIN1, LPIN2, LPIN3 complement the null [Source:SGD;Acc:S000004775]
83	YMR220W	ERG8	4.54248958661328	0.146374670661462	0.462877351047247	S000004833	ORF	712316	713671	1	1356	XIII	ERGosterol biosynthesis	1356	fatty_acids_metabolism	Fatty acids-associated genes	Phosphomevalonate kinase; an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate [Source:SGD;Acc:S000004833]
84	YMR246W	FAA4	4.16639381092769	0.171687439655025	0.542923354952592	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085	fatty_acids_metabolism	Fatty acids-associated genes	Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; role in stationary phase survival; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms cytoplasmic foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4 [Source:SGD;Acc:S000004860]
85	YNL009W	IDP3	2.55517784515273	0.0324292546478517	0.0458618917406427	S000004954	ORF	614821	616083	1	1263	XIV	Isocitrate Dehydrogenase, NADP-dependent	1263	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal NADP-dependent isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate with the formation of NADP(H+), required for growth on unsaturated fatty acids; IDP3 has a paralog, IDP2, that arose from the whole genome duplication [Source:SGD;Acc:S000004954]
86	YNL037C	IDH1	2.70043513774711	0.0896728138865629	0.283570336077915	S000004982	ORF	557920	559002	-1	1083	XIV	Isocitrate DeHydrogenase	1083	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle [Source:SGD;Acc:S000004982]
87	YNL071W	LAT1	2.90691675239232	0.0765760531792353	0.242154742272561	S000005015	ORF	491523	492971	1	1449	XIV		1449	fatty_acids_metabolism	Fatty acids-associated genes	Dihydrolipoamide acetyltransferase component (E2) of the PDC; the pyruvate dehydrogenase complex (PDC) catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA [Source:SGD;Acc:S000005015]
88	YNL310C	ZIM17	3.22555435047692	0.27438968352845	0.86769636640269	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	fatty_acids_metabolism	Fatty acids-associated genes	Protein co-chaperone with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix; required for the maintenance of Ssc1p solubility and assists in the functional interaction of Ssc1p with substrate proteins [Source:SGD;Acc:S000005254]
89	YNR001C	CIT1	2.70068247753984	0.0643042220908439	0.203347804972382	S000005284	ORF	629622	631061	-1	1440	XIV	CITrate synthase	1440	fatty_acids_metabolism	Fatty acids-associated genes	Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication [Source:SGD;Acc:S000005284]
90	YNR016C	ACC1	3.20763283605887	0.193373008255786	0.748930440580689	S000005299	ORF	654673	661374	-1	6702	XIV	Acetyl-CoA Carboxylase	6702	fatty_acids_metabolism	Fatty acids-associated genes	Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication [Source:SGD;Acc:S000005299]
91	YOL002C	IZH2	2.77721823616569	0.206421291830152	0.505626837030009	S000005362	ORF	323411	324364	-1	954	XV	Implicated in Zinc Homeostasis	954	fatty_acids_metabolism	Fatty acids-associated genes	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor [Source:SGD;Acc:S000005362]
92	YOL032W	OPI10	3.55784310751356	0.378781652395752	1.13634495718726	S000005392	ORF	265429	266169	1	741	XV	OverProducer of Inositol	741	fatty_acids_metabolism	Fatty acids-associated genes	Protein with a possible role in phospholipid biosynthesis; null mutant displays an inositol-excreting phenotype that is suppressed by exogenous choline; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005392]
93	YOL101C	IZH4	3.3755585790376	0.316609169678634	0.837669125772318	S000005461	ORF	126982	127920	-1	939	XV	Implicated in Zinc Homeostasis	939	fatty_acids_metabolism	Fatty acids-associated genes	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; expression induced by fatty acids and altered zinc levels; deletion reduces sensitivity to excess zinc; possible role in sterol metabolism; protein increases in abundance and relocalizes from nucleus to ER upon DNA replication stress; IZH4 has a paralog, IZH1, that arose from the whole genome duplication [Source:SGD;Acc:S000005461]
94	YOR040W	GLO4	2.09032297014944	0	0	S000005566	ORF	407064	407921	1	858	XV	GLyOxalase	858	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication [Source:SGD;Acc:S000005566]
95	YOR100C	CRC1	2.66714662141757	0.219721089841237	0.380568091099428	S000005626	ORF	513295	514278	-1	984	XV	CaRnitine Carrier	984	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation; human homolog SLC25A20 complements yeast null mutant [Source:SGD;Acc:S000005626]
96	YOR136W	IDH2	3.17042084156554	0.171711716551387	0.543000125239614	S000005662	ORF	580250	581359	1	1110	XV	Isocitrate DeHydrogenase	1110	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated [Source:SGD;Acc:S000005662]
97	YOR175C	ALE1	2.47184603705836	0.115131410755716	0.199413452975982	S000005701	ORF	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	1860	fatty_acids_metabolism	Fatty acids-associated genes	Broad-specificity lysophospholipid acyltransferase; part of MBOAT family of membrane-bound O-acyltransferases; key component of Lands cycle; may have role in fatty acid exchange at sn-2 position of mature glycerophospholipids [Source:SGD;Acc:S000005701]
98	YOR180C	DCI1	2.37051820149386	0.135661989088185	0.234973457756591	S000005706	ORF	674352	675167	-1	816	XV	delta(3,5)-delta(2,4)-Dienoyl-CoA Isomerase	816	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal protein; identification as a delta(3,5)-delta(2,4)-dienoyl-CoA isomerase involved in fatty acid metabolism is disputed; DCI1 has a paralog, ECI1, that arose from the whole genome duplication [Source:SGD;Acc:S000005706]
99	YOR374W	ALD4	2.23928194424643	0.047595843151362	0.095191686302724	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant [Source:SGD;Acc:S000005901]
100	YPL028W	ERG10	4.91448156945695	0.254784186969179	0.805698342616798	S000005949	ORF	498096	499292	1	1197	XVI	ERGosterol biosynthesis	1197	fatty_acids_metabolism	Fatty acids-associated genes	Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase); cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis; human ACAT1 functionally complements the growth defect caused by repression of ERG10 expression [Source:SGD;Acc:S000005949]
101	YPL029W	SUV3	4.81277744606444	0.170826726968021	0.540201542450657	S000005950	ORF	495506	497719	1	2214	XVI	SUppressor of Var1	2214	fatty_acids_metabolism	Fatty acids-associated genes	ATP-dependent RNA helicase; component of the mitochondrial degradosome along with the RNase Dss1p; the degradosome associates with the ribosome and mediates RNA turnover; also required during splicing of the COX1 AI5_beta intron; expression of a processed form of human homolog SUPV3L1 carrying an N-terminal deletion of 46 amino acids rescues yeast suv3 null mutant [Source:SGD;Acc:S000005950]
102	YPL040C	ISM1	2.34424709859836	0.0754592393630985	0.168731988746316	S000005961	ORF	475993	479001	-1	3009	XVI	Isoleucyl tRNA Synthetase of Mitochondria	3009	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial isoleucyl-tRNA synthetase; null mutant is deficient in respiratory growth; human homolog IARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant [Source:SGD;Acc:S000005961]
103	YPL087W	YDC1	2.83564296787463	0.0480597554958649	0.151978291157728	S000006008	ORF	383455	384408	1	954	XVI	Yeast DihydroCeramidase	954	fatty_acids_metabolism	Fatty acids-associated genes	Alkaline dihydroceramidase, involved in sphingolipid metabolism; preferentially hydrolyzes dihydroceramide to a free fatty acid and dihydrosphingosine; has a minor reverse activity; YDC1 has a paralog, YPC1, that arose from the whole genome duplication [Source:SGD;Acc:S000006008]
104	YPL095C	EEB1	3.94432333801306	0.328351826618041	1.31340730647216	S000006016	ORF	368071	369441	-1	1371	XVI	Ethyl Ester Biosynthesis	1371	fatty_acids_metabolism	Fatty acids-associated genes	Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication [Source:SGD;Acc:S000006016]
105	YPL135W	ISU1	3.37731162603196	0.135945138902608	0.429896275760204	S000006056	ORF	297553	298050	1	498	XVI	IScU homolog	498	fatty_acids_metabolism	Fatty acids-associated genes	Conserved protein of the mitochondrial matrix; performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); ISU1 has a paralog, ISU2, that arose from the whole genome duplication; isu1 isu2 double mutant is inviable; human homolog ISCU implicated in mitochondrial myopathy, can complement isu1 isu2 double mutant [Source:SGD;Acc:S000006056]
106	YPL147W	PXA1	2.22365907249017	0.124258469057335	0.248516938114669	S000006068	ORF	273255	275867	1	2613	XVI	PeroXisomal ABC-transporter	2613	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant [Source:SGD;Acc:S000006068]
107	YPL231W	FAS2	2.9350004833321	0.0939911766062821	0.364026261686571	S000006152	ORF	108652	114315	1	5664	XVI	Fatty Acid Synthetase	5664	fatty_acids_metabolism	Fatty acids-associated genes	Alpha subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities [Source:SGD;Acc:S000006152]
108	YPL268W	PLC1	2.08311471636258	0	0	S000006189	ORF	35236	37845	1	2610	XVI	PhosphoLipase C	2610	fatty_acids_metabolism	Fatty acids-associated genes	Phospholipase C; hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes; Plc1p and inositol polyphosphates are required for acetyl-CoA homeostasis which regulates global histone acetylation [Source:SGD;Acc:S000006189]
109	YPR004C	AIM45	3.21317650495282	0.152498628613987	0.482243006472327	S000006208	ORF	564007	565041	-1	1035	XVI	Altered Inheritance rate of Mitochondria	1035	fatty_acids_metabolism	Fatty acids-associated genes	Putative ortholog of mammalian ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response; ETF-alpha is an electron transfer flavoprotein complex subunit [Source:SGD;Acc:S000006208]
110	YPR006C	ICL2	2.68662006661404	0.129854157858266	0.367283022347394	S000006210	ORF	567269	568996	-1	1728	XVI	IsoCitrate Lyase	1728	fatty_acids_metabolism	Fatty acids-associated genes	2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol [Source:SGD;Acc:S000006210]
111	YPR047W	MSF1	2.79540760690674	0.14040361656102	0.443995220057762	S000006251	ORF	657529	658938	1	1410	XVI	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	1410	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase [Source:SGD;Acc:S000006251]
112	YPR067W	ISA2	2.19815402069116	0.0395410917836124	0.0884165691327157	S000006271	ORF	682220	682777	1	558	XVI	Iron Sulfur Assembly	558	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa1p and possibly Iba57p; localizes to the mitochondrial intermembrane space, overexpression of ISA2 suppresses grx5 mutations [Source:SGD;Acc:S000006271]
113	YPR140W	TAZ1	2.47174667885999	0.0921717209433801	0.27651516283014	S000006344	ORF	814391	815536	1	1146	XVI	TAfaZzin	1146	fatty_acids_metabolism	Fatty acids-associated genes	Lyso-phosphatidylcholine acyltransferase; required for normal phospholipid content of mitochondrial membranes; major determinant of the final acyl chain composition of the mitochondrial-specific phospholipid cardiolipin; mutations in human ortholog tafazzin (TAZ) cause Barth syndrome, a rare X-linked disease characterized by skeletal and cardiomyopathy and bouts of cyclic neutropenia; a specific splice variant of human TAZ can complement yeast null mutant [Source:SGD;Acc:S000006344]
